Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,CustLat,CustLon,FactLat,FactLon,Distance_mi,BaseDays,LeadTime_days
1,US-2021-103800-CHO-MIL-31000,03-01-2024,30-06-2026,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,31.9686,-99.9018,32.076176,-81.088371,1099.9496026189775,3.199899205237955,5.197220130265919
2,US-2021-112326-CHO-TRI-54000,04-01-2024,01-07-2026,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,40.3495,-88.9861,32.076176,-81.088371,720.340311870563,2.440680623741126,3.550409494674741
3,US-2021-112326-CHO-NUT-13000,04-01-2024,01-07-2026,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,40.3495,-88.9861,32.881893,-111.768036,1358.8109979706005,3.717621995941201,6.094583824392355
4,US-2021-112326-CHO-SCR-58000,04-01-2024,01-07-2026,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,40.3495,-88.9861,32.881893,-111.768036,1358.8109979706005,3.717621995941201,6.794856879038222
5,US-2021-141817-CHO-TRI-54000,05-01-2024,05-07-2026,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,40.5908,-77.2098,32.076176,-81.088371,626.0421429510745,2.252084285902149,3.190803729074555
6,US-2021-167199-CHO-SCR-58000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,Lot's O' Nuts,37.6681,-84.6701,32.881893,-111.768036,1556.9928197648474,4.1139856395296945,5.983668893735198
7,US-2021-167199-CHO-TRI-54000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,37.6681,-84.6701,32.076176,-81.088371,436.0629179889469,1.8721258359778936,4.071559006372754
8,US-2021-106054-CHO-MIL-31000,06-01-2024,30-06-2026,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,33.0406,-83.6431,32.076176,-81.088371,162.8951710918331,1.3257903421836663,1.4094219886325268
9,US-2021-167199-CHO-NUT-13000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,37.6681,-84.6701,32.881893,-111.768036,1556.9928197648474,4.1139856395296945,5.79539895054658
10,US-2021-167199-CHO-MIL-31000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,37.6681,-84.6701,32.076176,-81.088371,436.0629179889469,1.8721258359778936,3.242236788835612
11,US-2021-167199-CHO-MIL-31000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,37.6681,-84.6701,32.076176,-81.088371,436.0629179889469,1.8721258359778936,2.4374545997168706
12,US-2021-130813-CHO-MIL-31000,06-01-2024,01-07-2026,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,36.7783,-119.4179,32.076176,-81.088371,2192.2162092613235,5.384432418522647,5.011848615666442
13,US-2021-167199-CHO-SCR-58000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot's O' Nuts,37.6681,-84.6701,32.881893,-111.768036,1556.9928197648474,4.1139856395296945,6.364548276547369
14,US-2021-167199-CHO-FUD-51000,06-01-2024,03-07-2026,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,37.6681,-84.6701,32.881893,-111.768036,1556.9928197648474,4.1139856395296945,4.6403542635683035
15,US-2021-105417-CHO-MIL-31000,07-01-2024,05-07-2026,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,31.9686,-99.9018,32.076176,-81.088371,1099.9496026189775,3.199899205237955,3.419914541846506
16,US-2021-105417-CHO-TRI-54000,07-01-2024,05-07-2026,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,Wicked Choccy's,31.9686,-99.9018,32.076176,-81.088371,1099.9496026189775,3.199899205237955,4.3500187844641545
17,US-2021-135405-CHO-TRI-54000,09-01-2024,06-07-2026,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,31.9686,-99.9018,32.076176,-81.088371,1099.9496026189775,3.199899205237955,3.9895839115893934
18,US-2021-135405-CHO-TRI-54000,09-01-2024,06-07-2026,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,31.9686,-99.9018,32.076176,-81.088371,1099.9496026189775,3.199899205237955,5.051246673933152
19,US-2021-149020-CHO-MIL-31000,10-01-2024,08-07-2026,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,2.0525616852827446
20,US-2021-149020-OTH-GUM-21000,10-01-2024,08-07-2026,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,Secret Factory,37.7693,-78.1699,41.446333,-90.565487,705.7501698158998,2.4115003396317993,2.4874075483794655
21,US-2021-130092-CHO-MIL-31000,11-01-2024,07-07-2026,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,39.3185,-75.5071,32.076176,-81.088371,589.6012825647571,2.179202565129514,2.480040554214952
22,US-2021-157147-CHO-MIL-31000,13-01-2024,11-07-2026,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,36.7783,-119.4179,32.076176,-81.088371,2192.2162092613235,5.384432418522647,7.896027587394743
23,US-2021-109232-CHO-NUT-13000,13-01-2024,09-07-2026,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,33.8569,-80.945,32.881893,-111.768036,1771.9547092531313,4.543909418506263,4.597931982256601
24,US-2021-157147-CHO-MIL-31000,13-01-2024,11-07-2026,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,36.7783,-119.4179,32.076176,-81.088371,2192.2162092613235,5.384432418522647,6.9368500788132055
25,US-2021-118192-CHO-SCR-58000,13-01-2024,11-07-2026,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,40.3888,-82.7649,32.881893,-111.768036,1679.6183425855836,4.359236685171167,6.103348848136604
26,US-2021-162775-CHO-TRI-54000,13-01-2024,08-07-2026,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,31.1695,-91.8678,32.076176,-81.088371,636.5716179405525,2.273143235881105,2.3618813076489977
27,US-2021-162775-OTH-KAZ-38000,13-01-2024,08-07-2026,Second Class,162775,United States,Bossier City,Louisiana,71111,Other,Gulf,OTH-KAZ-38000,Kazookles,9.75,3,0.75,9.0,Secret Factory,31.1695,-91.8678,41.446333,-90.565487,713.2305104274357,2.4264610208548714,1.505666158917029
28,US-2021-162775-CHO-MIL-31000,13-01-2024,08-07-2026,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,31.1695,-91.8678,32.076176,-81.088371,636.5716179405525,2.273143235881105,2.5737016505576427
29,US-2021-118192-CHO-SCR-58000,13-01-2024,11-07-2026,Standard Class,118192,United States,Newark,Ohio,43055,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,Lot's O' Nuts,40.3888,-82.7649,32.881893,-111.768036,1679.6183425855836,4.359236685171167,6.058344075821706
30,US-2021-162775-CHO-MIL-31000,13-01-2024,08-07-2026,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy's,31.1695,-91.8678,32.076176,-81.088371,636.5716179405525,2.273143235881105,2.0397882360464834
31,US-2021-157147-CHO-NUT-13000,13-01-2024,11-07-2026,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,Lot's O' Nuts,36.7783,-119.4179,32.881893,-111.768036,509.98328858254104,2.019966577165082,2.5485845759641057
32,US-2021-162775-CHO-SCR-58000,13-01-2024,08-07-2026,Second Class,162775,United States,Bossier City,Louisiana,71111,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,Lot's O' Nuts,31.1695,-91.8678,32.881893,-111.768036,1169.1440194365273,3.3382880388730545,4.8201105864802045
33,US-2021-149524-OTH-GUM-21000,14-01-2024,08-07-2026,First Class,149524,United States,Philadelphia,Pennsylvania,19140,Other,Atlantic,OTH-GUM-21000,Wonka Gum,5.0,4,2.6,2.4,Secret Factory,40.5908,-77.2098,41.446333,-90.565487,697.5606938773772,2.395121387754754,1.4262750528625052
34,US-2021-103366-CHO-SCR-58000,15-01-2024,10-07-2026,First Class,103366,United States,Roswell,Georgia,30076,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot's O' Nuts,33.0406,-83.6431,32.881893,-111.768036,1624.4377825438567,4.2488755650877135,1.7031565958879074
35,US-2021-115791-CHO-TRI-54000,16-01-2024,11-07-2026,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,Wicked Choccy's,40.5908,-77.2098,32.076176,-81.088371,626.0421429510745,2.252084285902149,2.9101202155847004
36,US-2021-115791-CHO-FUD-51000,16-01-2024,11-07-2026,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,40.5908,-77.2098,32.881893,-111.768036,1970.9365605159846,4.9418731210319695,3.9651982010551516
37,US-2021-115791-CHO-TRI-54000,16-01-2024,11-07-2026,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,40.5908,-77.2098,32.076176,-81.088371,626.0421429510745,2.252084285902149,2.4191751619059536
38,US-2021-115791-CHO-SCR-58000,16-01-2024,11-07-2026,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,40.5908,-77.2098,32.881893,-111.768036,1970.9365605159846,4.9418731210319695,3.3741370219281492
39,US-2021-123477-CHO-NUT-13000,18-01-2024,14-07-2026,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot's O' Nuts,44.572,-122.0709,32.881893,-111.768036,977.7539138433775,2.955507827686755,1.8929589885680105
40,US-2021-146591-CHO-TRI-54000,19-01-2024,13-07-2026,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,33.7298,-111.4312,32.076176,-81.088371,1756.362740009866,4.512725480019732,2.865124276707138
41,US-2021-146591-CHO-FUD-51000,19-01-2024,13-07-2026,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,Lot's O' Nuts,33.7298,-111.4312,32.881893,-111.768036,61.686080460115235,1.1233721609202305,1.2647965605484668
42,US-2021-146591-CHO-TRI-54000,19-01-2024,13-07-2026,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,33.7298,-111.4312,32.076176,-81.088371,1756.362740009866,4.512725480019732,2.8447299129638153
43,US-2021-146591-CHO-FUD-51000,19-01-2024,13-07-2026,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,33.7298,-111.4312,32.881893,-111.768036,61.686080460115235,1.1233721609202305,1.0
44,US-2021-147627-CHO-TRI-54000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,34.9697,-92.3731,32.076176,-81.088371,679.1252768252511,2.3582505536505023,3.2964928740043224
45,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,43.3266,-84.5361,32.881893,-111.768036,1635.8269360528968,4.2716538721057935,5.224663215864748
46,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,43.3266,-84.5361,32.881893,-111.768036,1635.8269360528968,4.2716538721057935,5.831605441442923
47,US-2021-147627-CHO-MIL-31000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy's,34.9697,-92.3731,32.076176,-81.088371,679.1252768252511,2.3582505536505023,3.1688648137079234
48,US-2021-148614-CHO-MIL-31000,20-01-2024,18-07-2026,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,36.7783,-119.4179,32.076176,-81.088371,2192.2162092613235,5.384432418522647,8.922346408759104
49,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot's O' Nuts,43.3266,-84.5361,32.881893,-111.768036,1635.8269360528968,4.2716538721057935,6.682375439813459
